id_match,Team,Core,Mid,Hard,Hard support,Easy support
6038835198,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6038835198,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6040147446,T1,23,Karl,Ku,Whitemon,Xepher
6040147446,Evil Geniuses,iceiceice,Abed,Arteezy,Fly,Cr1t-
6040270220,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6040270220,T1,23,Karl,Ku,Whitemon,Xepher
6040431300,T1,23,Karl,Ku,Whitemon,Xepher
6040431300,Evil Geniuses,iceiceice,Abed,Arteezy,Fly,Cr1t-
6040639859,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6040639859,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6040722034,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
6040722034,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6040802788,PSG.LGD,萧瑟,NothingToSay,Faith_bian,XinQ,y`
6040802788,Evil Geniuses,Arteezy,Abed,iceiceice,Fly,Cr1t-
