id,First team,Second team, Winner
6030086704,Evil Geniuses,Nigma,Evil Geniuses 
6030163065,Nigma,Evil Geniuses,Nigma 
6029392023,beastcoast,Vici Gaming,Vici Gaming 
6029511003,beastcoast,Vici Gaming,Vici Gaming 
6029691087,Nigma,Vici Gaming,Nigma 
6029795129,beastcoast,Team Spirit,beastcoast 
6029913487,Team Spirit,beastcoast,Team Spirit 
6030085156,Team Spirit,Team Liquid,Team Liquid 
6030875673,PSG.LGD,Vici Gaming,PSG.LGD 
6030936024,PSG.LGD,Vici Gaming,Vici Gaming 
6031046560,TNC Predator,Team Spirit,TNC Predator 
6031206365,Team Spirit,TNC Predator,Team Spirit 
6031339671,Nigma,beastcoast,Nigma 
6031437705,beastcoast,Nigma,Nigma 
6031515062,Evil Geniuses,Team Liquid,Evil Geniuses 
6031605579,Evil Geniuses,Team Liquid,Team Liquid 
6031683231,Team Spirit,Team Liquid,Team Spirit 
6034640592,Nigma,Virtus.pro,Nigma 
6034687123,Virtus.pro,Nigma,Nigma 
6033930417,Alliance,PSG.LGD,PSG.LGD 
6034022746,PSG.LGD,Alliance,PSG.LGD 
6033763787,T1,Team Aster,T1 
6033828511,Team Aster,T1,T1 
6034417665,Quincy Crew,NoPing Esports,Quincy Crew 
6034484929,NoPing Esports,Quincy Crew,NoPing Esports 
6034561846,NoPing Esports,Quincy Crew,Quincy Crew 
6037154028,Nigma,PSG.LGD,PSG.LGD 
6037257217,PSG.LGD,Nigma,Nigma 
6037335318,PSG.LGD,Nigma,PSG.LGD 
6037420834,T1,Quincy Crew,Quincy Crew 
6037504112,Quincy Crew,T1,T1 
6037565900,Quincy Crew,T1,T1 
6038968530,PSG.LGD,T1,PSG.LGD 
6039044857,T1,PSG.LGD,T1 
6039119756,PSG.LGD,T1,PSG.LGD 
6035807546,Virtus.pro,Vici Gaming,Vici Gaming 
6035901389,Virtus.pro,Vici Gaming,Virtus.pro 
6035455715,Team Spirit,Alliance,Team Spirit 
6035584181,Alliance,Team Spirit,Alliance 
6035690975,Alliance,Team Spirit,Team Spirit 
6035159079,Team Aster,TNC Predator,Team Aster 
6035334054,TNC Predator,Team Aster,TNC Predator 
6036054100,Evil Geniuses,NoPing Esports,Evil Geniuses 
6036109553,NoPing Esports,Evil Geniuses,NoPing Esports 
6036146532,NoPing Esports,Evil Geniuses,Evil Geniuses 
6036563229,Team Spirit,Vici Gaming,Vici Gaming 
6036636251,Team Spirit,Vici Gaming,Vici Gaming 
6036747392,Evil Geniuses,TNC Predator,Evil Geniuses 
6036850305,TNC Predator,Evil Geniuses,TNC Predator 
6036978461,TNC Predator,Evil Geniuses,Evil Geniuses 
6038301641,Quincy Crew,Vici Gaming,Quincy Crew 
6038489826,Quincy Crew,Vici Gaming,Vici Gaming 
6038118011,Evil Geniuses,Nigma,Evil Geniuses 
6038190628,Nigma,Evil Geniuses,Evil Geniuses 
6038642649,Evil Geniuses,Vici Gaming,Vici Gaming 
6038753175,Vici Gaming,Evil Geniuses,Evil Geniuses 
6038835198,Evil Geniuses,Vici Gaming,Evil Geniuses 
6040147446,T1,Evil Geniuses,Evil Geniuses 
6040270220,Evil Geniuses,T1,T1 
6040431300,T1,Evil Geniuses,Evil Geniuses 
6040639859,PSG.LGD,Evil Geniuses,PSG.LGD 
6040722034,Evil Geniuses,PSG.LGD,PSG.LGD 
6040802788,PSG.LGD,Evil Geniuses,PSG.LGD 
